"Sex","Race/Ethnicity","Age Group","First Year","Last Year","Cause of Injury","Age in Years","Year","Injuries","Population","records","cv"
"F","B","All","2001","2017","Assault Other Specified","16","2010","0","365,233",".","0"
"F","H","All","2001","2017","Assault Other Specified","16","2010","0","412,032",".","0"
"F","O","All","2001","2017","Assault Other Specified","16","2010","0","123,199",".","0"
"F","A","All","2001","2017","Assault Other Specified","16","2011","269","2,068,464","3","1"
"F","W","All","2001","2017","Assault Other Specified","16","2011","0","1,179,041",".","0"
"F","B","All","2001","2017","Assault Other Specified","16","2011","90","348,985","1","1"
"F","H","All","2001","2017","Assault Other Specified","16","2011","179","415,839","2","1"
"F","O","All","2001","2017","Assault Other Specified","16","2011","0","124,599",".","0"
"F","A","All","2001","2017","Assault Other Specified","16","2012","22","2,036,998","1","1"
"F","W","All","2001","2017","Assault Other Specified","16","2012","0","1,158,594",".","0"
"F","B","All","2001","2017","Assault Other Specified","16","2012","22","335,461","1","1"
"F","H","All","2001","2017","Assault Other Specified","16","2012","0","415,855",".","0"
"F","O","All","2001","2017","Assault Other Specified","16","2012","0","127,088",".","0"
"F","A","All","2001","2017","Assault Other Specified","16","2013","20","2,035,034","2","1"
"F","W","All","2001","2017","Assault Other Specified","16","2013","0","1,149,267",".","0"
"F","B","All","2001","2017","Assault Other Specified","16","2013","20","336,726","2","1"
"F","H","All","2001","2017","Assault Other Specified","16","2013","0","420,388",".","0"
"F","O","All","2001","2017","Assault Other Specified","16","2013","0","128,653",".","0"
"F","A","All","2001","2017","Assault Other Specified","16","2014","45","2,036,848","2","1"
"F","W","All","2001","2017","Assault Other Specified","16","2014","0","1,140,593",".","0"
"F","B","All","2001","2017","Assault Other Specified","16","2014","45","338,787","2","1"
"F","H","All","2001","2017","Assault Other Specified","16","2014","0","427,221",".","0"
"F","O","All","2001","2017","Assault Other Specified","16","2014","0","130,247",".","0"
"F","A","All","2001","2017","Assault Other Specified","16","2015","0","2,045,084",".","0"
"F","W","All","2001","2017","Assault Other Specified","16","2015","0","1,138,019",".","0"
"F","B","All","2001","2017","Assault Other Specified","16","2015","0","339,043",".","0"
"F","H","All","2001","2017","Assault Other Specified","16","2015","0","437,042",".","0"
"F","O","All","2001","2017","Assault Other Specified","16","2015","0","130,980",".","0"
